COUNTRY,YEAR,PC_DEP
FRA,1992,51.796
FRA,1993,47.707
FRA,1994,47.39
FRA,1995,47.677
FRA,1996,48.209
FRA,1997,48.739
FRA,1998,50.96
FRA,1999,51.273
FRA,2000,51.248
FRA,2001,50.402
FRA,2002,50.792
FRA,2003,50.64
FRA,2004,50.837
FRA,2005,51.677
FRA,2006,51.495
FRA,2007,50.394
FRA,2008,50.724
FRA,2009,50.627
FRA,2010,48.645
FRA,2011,49.052
FRA,2012,48.204
FRA,2013,48.021
FRA,2014,46.243
FRA,2015,45.933
FRA,2016,47.399
FRA,2017,48.797
FRA,2018,46.844
FRA,2019,47.556
FRA,2020,44.463
GBR,1990,2.277
GBR,1991,5.097
GBR,1992,3.838
GBR,1993,-0.032
GBR,1994,-14.584
GBR,1995,-16.75
GBR,1996,-14.766
GBR,1997,-15.482
GBR,1998,-16.431
GBR,1999,-20.573
GBR,2000,-17.128
GBR,2001,-9.526
GBR,2002,-11.954
GBR,2003,-5.96
GBR,2004,4.485
GBR,2005,13.363
GBR,2006,21.132
GBR,2007,20.378
GBR,2008,26.236
GBR,2009,27.274
GBR,2010,29.008
GBR,2011,36.942
GBR,2012,43.387
GBR,2013,47.758
GBR,2014,46.773
GBR,2015,37.638
GBR,2016,35.639
GBR,2017,35.575
GBR,2018,35.513
GBR,2019,34.829
GEO,2013,66.473
GEO,2014,69.722
GEO,2015,72.736
GEO,2016,72.014
GEO,2017,72.953
GEO,2018,75.666
GEO,2019,79.08
GEO,2020,79.653
GRC,1990,61.852
GRC,1991,63.096
GRC,1992,68.83
GRC,1993,66.386
GRC,1994,58.45
GRC,1995,66.465
GRC,1996,67.858
GRC,1997,67.206
GRC,1998,69.756
GRC,1999,65.67
GRC,2000,69.055
GRC,2001,68.495
GRC,2002,71.063
GRC,2003,67.088
GRC,2004,72.259
GRC,2005,68.203
GRC,2006,71.419
GRC,2007,70.858
GRC,2008,72.915
GRC,2009,67.341
GRC,2010,68.584
GRC,2011,64.677
GRC,2012,65.889
GRC,2013,61.75
GRC,2014,65.455
GRC,2015,71.047
GRC,2016,72.911
GRC,2017,71.282
GRC,2018,70.681
GRC,2019,74.103
GRC,2020,81.415
HRV,1990,40.211
HRV,1991,27.739
HRV,1992,34.216
HRV,1993,32.441
HRV,1994,37.937
HRV,1995,36.248
HRV,1996,38.927
HRV,1997,42.513
HRV,1998,44.476
HRV,1999,48.803
HRV,2000,48.45
HRV,2001,46.527
HRV,2002,54.422
HRV,2003,50.708
HRV,2004,51.885
HRV,2005,52.564
HRV,2006,49.17
HRV,2007,51.806
HRV,2008,54.75
HRV,2009,46.016
HRV,2010,46.693
HRV,2011,49.639
HRV,2012,49.862
HRV,2013,47.434
HRV,2014,44.206
HRV,2015,48.786
HRV,2016,48.43
HRV,2017,53.152
HRV,2018,52.691
HRV,2019,56.216
HRV,2020,53.589
HUN,1990,49.268
HUN,1991,46.012
HUN,1992,44.339
HUN,1993,47.526
HUN,1994,46.763
HUN,1995,47.796
HUN,1996,51.229
HUN,1997,51.284
HUN,1998,54.652
HUN,1999,53.424
HUN,2000,54.978
HUN,2001,53.411
HUN,2002,56.885
HUN,2003,62.057
HUN,2004,60.955
HUN,2005,62.254
HUN,2006,61.819
HUN,2007,60.362
HUN,2008,62.589
HUN,2009,57.574
HUN,2010,56.93
HUN,2011,50.273
HUN,2012,50.146
HUN,2013,50.122
HUN,2014,59.845
HUN,2015,53.875
HUN,2016,55.823
HUN,2017,62.645
HUN,2018,58.123
HUN,2019,69.712
HUN,2020,56.628
IRL,1990,69.01
IRL,1991,67.024
IRL,1992,65.885
IRL,1993,66.932
IRL,1994,64.931
IRL,1995,71.312
IRL,1996,71.667
IRL,1997,75.964
IRL,1998,80.348
IRL,1999,85.546
IRL,2000,85.433
IRL,2001,89.605
IRL,2002,88.086
IRL,2003,90.265
IRL,2004,91.614
IRL,2005,89.655
IRL,2006,90.758
IRL,2007,87.563
IRL,2008,90.01
IRL,2009,87.821
IRL,2010,87.484
IRL,2011,90.352
IRL,2012,83.709
IRL,2013,91.62
IRL,2014,86.15
IRL,2015,88.778
IRL,2016,69.079
IRL,2017,66.882
IRL,2018,67.556
IRL,2019,68.7
IRL,2020,71.302
ISL,1990,32.967
ISL,1991,31.353
ISL,1992,36.464
ISL,1993,33.342
ISL,1994,34.319
ISL,1995,34.126
ISL,1996,34.311
ISL,1997,34.802
ISL,1998,34.629
ISL,1999,32.165
ISL,2000,30.567
ISL,2001,29.083
ISL,2002,28.813
ISL,2003,27.848
ISL,2004,31.955
ISL,2005,31.224
ISL,2006,25.98
ISL,2007,22.832
